Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.3723483,0.0,21.810933940774486,-11.618744,-0.910556159879519,-0.910556159879519,1.0
20000,2.389279,0.0,21.482062780269057,-11.312895,-0.906351007035609,-0.906351007035609,1.0
30000,2.4234252,0.0,20.768558951965066,-10.020353,-0.9157233128490531,-0.9157233128490531,1.0
40000,2.4310572,0.0,20.931868131868132,-9.732058,-0.9350538305302417,-0.9350538305302417,1.0
50000,2.4176714,0.0,19.626033057851238,-7.7043386,-0.9303578505338717,-0.9303578505338717,1.0
60000,2.4378715,0.0,19.234817813765183,-7.4340734,-0.9420250530796822,-0.9420250530796822,1.0
70000,2.43892,0.0,18.32688588007737,-5.787671,-0.9657408162173265,-0.9657408162173265,1.0
80000,2.4440718,0.0,16.800711743772244,-5.304469,-0.954272599194822,-0.954272599194822,1.0
90000,2.430034,0.0,16.828877005347593,-4.552631,-0.967514440390728,-0.967514440390728,1.0
100000,2.4416785,0.0,16.34548611111111,-4.2075605,-0.9717941034792198,-0.9717941034792198,1.0
110000,2.446804,0.0,16.31076388888889,-3.6678522,-0.9736626347249767,-0.9736626347249767,1.0
120000,2.4220314,0.0,15.75966386554622,-3.4486072,-0.964330879483847,-0.964330879483847,1.0
130000,2.4200835,0.0,16.60211267605634,-2.9316304,-0.9732165558027549,-0.9732165558027549,1.0
140000,2.4036975,0.0,16.125,-2.7324939,-0.9756147277681795,-0.9756147277681795,1.0
150000,2.398075,0.0,15.942372881355933,-2.3356502,-0.9708585493052267,-0.9708585493052267,1.0
160000,2.3546367,0.0,16.51138353765324,-2.2215636,-0.9698227747309229,-0.9698227747309229,1.0
170000,2.3596969,0.0,15.94047619047619,-2.021415,-0.9648555966757112,-0.9648555966757112,1.0
180000,2.3689501,0.0,15.615,-1.8972186,-0.9655604715957198,-0.9655604715957198,1.0
190000,2.3741713,0.0,16.27758620689655,-1.7191774,-0.9650504392972264,-0.9650504392972264,1.0
200000,2.4273407,0.0,16.023890784982935,-1.4644957,-0.9723676405529756,-0.9723676405529756,1.0
210000,2.3452542,0.0,17.15875912408759,-1.4604958,-0.9577927307107231,-0.9577927307107231,1.0
220000,2.3230522,0.0,15.760469011725293,-1.3839757,-0.9610807390468604,-0.9610807390468604,1.0
230000,2.3159301,0.0,15.91554054054054,-1.3438898,-0.9759550715821821,-0.9759550715821821,1.0
240000,2.2971802,0.0,16.298791018998273,-1.2338711,-0.9710370222796206,-0.9710370222796206,1.0
250000,2.289195,0.0,16.61660777385159,-1.1690003,-0.9634310437047713,-0.9634310437047713,1.0
260000,2.257208,0.0,16.505244755244757,-1.0848074,-0.9716241265927161,-0.9716241265927161,1.0
270000,2.2669444,0.0,16.585537918871253,-1.0476769,-0.970533452613253,-0.970533452613253,1.0
280000,2.2604659,0.0,16.80817051509769,-0.9768588,-0.9755964452049486,-0.9755964452049486,1.0
290000,2.245483,0.0,16.994594594594595,-0.9685638,-0.9681111551660428,-0.9681111551660428,1.0
300000,2.2588086,0.0,17.339449541284402,-0.9253887,-0.9592297278959817,-0.9592297278959817,1.0
310000,2.2679398,0.0,17.305860805860807,-0.9045689,-0.9547106224101979,-0.9547106224101979,1.0
320000,2.2822137,0.0,18.368217054263567,-0.8459009,-0.9425798830372684,-0.9425798830372684,1.0
330000,2.2471552,0.0,17.587360594795538,-0.85045934,-0.9530855042783745,-0.9530855042783745,1.0
340000,2.1804821,0.0,19.397540983606557,-0.82430094,-0.914901226880599,-0.914901226880599,1.0
350000,2.1613543,0.0,19.51124744376278,-0.8256593,-0.9331783229953672,-0.9331783229953672,1.0
360000,2.2084706,0.0,21.61904761904762,-0.79414856,-0.9043387751730662,-0.9043387751730662,1.0
370000,2.2206032,0.0,20.70305676855895,-0.79933,-0.9005115410730989,-0.9005115410730989,1.0
380000,2.2006714,0.0,22.002298850574714,-0.80928963,-0.8963839439077115,-0.8963839439077115,1.0
390000,2.2238455,0.0,21.409395973154364,-0.8053161,-0.8939707856499747,-0.8939707856499747,1.0
400000,2.2243865,0.0,23.746268656716417,-0.81042206,-0.8613555462272079,-0.8613555462272079,1.0
410000,2.2331395,0.0,23.35348837209302,-0.8052384,-0.8605692695553709,-0.8605692695553709,1.0
420000,2.233385,0.0,25.56267409470752,-0.7441156,-0.8241604136445592,-0.8241604136445592,1.0
430000,2.2589276,0.0,26.593406593406595,-0.7346802,-0.8026192699746324,-0.8026192699746324,1.0
440000,2.2253394,0.0,26.66016713091922,-0.7183884,-0.7641357174478575,-0.7641357174478575,1.0
450000,2.2208774,0.0,28.3,-0.726944,-0.7796052638386701,-0.7796052638386701,1.0
460000,2.1735942,0.0,31.0,-0.7350969,-0.7408926358428626,-0.7408926358428626,1.0
470000,2.1903975,0.0,29.75925925925926,-0.715042,-0.7464475093961314,-0.7464475093961314,1.0
480000,2.1626894,0.0,35.086021505376344,-0.6751542,-0.6680487227696245,-0.6680487227696245,1.0
490000,2.1761627,0.0,33.6993006993007,-0.68250513,-0.6884685071719276,-0.6884685071719276,1.0
500000,2.1586936,0.0,37.54406130268199,-0.64251065,-0.614905357418152,-0.614905357418152,1.0
510000,2.1326368,0.0,38.9277108433735,-0.6527615,-0.6056759736537933,-0.6056759736537933,1.0
